Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C3809634	ciliary dyskinesia, primary, 24	1	1	1
C4021884	bilateral choanal atresia/stenosis	1	1	1
C1832594	verloes bourguignon syndrome	1	1	1
C4021885	atrial cardiomyopathy	1	1	1
C3809971	asparagine synthetase deficiency	1	1	1
C1853831	bleeding disorder, east texas type	1	1	1
C1853833	parkinson disease 6, autosomal recessive early-onset	1	1	1
C3150901	spastic paraplegia 48, autosomal recessive	1	1	1
C3150900	methylmalonic aciduria due to transcobalamin receptor defect	1	1	1
C1970879	atypical mycobacteriosis, familial, x-linked 1 (disorder)	1	1	1
C1845202	nephrogenic syndrome of inappropriate antidiuresis	1	1	1
C2751318	nijmegen breakage syndrome-like disorder	1	1	1
C0543859	amyotrophic lateral sclerosis, guam form	1	1	1
C2751317	46, xy sex reversal 5	1	1	1
C2751310	hyperuricemic nephropathy, familial juvenile 2	1	1	1
C1832736	congenital disorder of glycosylation, type id	1	1	1
C2751312	bartter syndrome, type 4b	1	1	1
C0431108	anaplastic oligoastrocytoma	1	1	1
C3809609	primary aldosteronism, seizures, and neurologic abnormalities	1	1	1
C4024945	generalized cerebral atrophy/hypoplasia	1	1	1
C3809606	epileptic encephalopathy, early infantile, 17	1	1	1
C0014522	epidermodysplasia verruciformis	1	1	2
C1848097	spondyloepimetaphyseal dysplasia, x-linked	1	1	1
C3496228	leukodystrophy, dysmyelinating, and spastic paraparesis with or without dystonia	1	1	1
C1285291	fetal ascites	1	1	1
C1860707	tuberous sclerosis 2 (disorder)	1	1	2
C4022873	small pituitary gland	1	1	1
C0021818	intervertebral disk displacement	1	1	2
C1969052	meckel syndrome, type 5	1	1	1
C4225393	3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia	1	1	1
C2752074	alpha-ketoglutarate dehydrogenase deficiency	1	1	1
C3805604	foveal hypoplasia 1	1	1	1
C0205748	dysplastic nevus	1	1	1
C0346073	tufted angioma of skin	1	1	1
C0346072	blue rubber bleb nevus syndrome	1	1	1
C4225396	mental retardation, autosomal dominant 32	1	1	1
C4021688	ulnar metaphyseal irregularity	1	1	1
C1836122	sarcoidosis, early-onset	1	1	1
C4021684	sclerosis of hand bone	1	1	1
C1864738	corneal dystrophy, congenital stromal	1	1	1
C0268468	dystonia, dopa-responsive, due to sepiapterin reductase deficiency	1	1	1
C0268467	hyperphenylalaninemia, bh4-deficient, b	1	1	1
C2931258	amaurosis congenita of leber, type 1	1	1	1
C0268465	phenylketonuria ii	1	1	1
C0042875	vitamin e deficiency	1	1	1
C0542571	facial edema	1	1	1
C1449563	cardiomyopathy, familial idiopathic	1	1	1
C4022016	abnormality of the preputium	1	1	1
C2752147	xeroderma pigmentosum, complementation group c	1	1	1
C1865286	macrophthalmia, colobomatous, with microcornea	1	1	1
C1865285	megalencephaly cutis marmorata telangiectatica congenita	1	1	1
C3541471	mitochondrial complex iii deficiency, nuclear type 1	1	1	1
C1801950	opitz-g syndrome, type 2	1	1	1
C0344787	complete atrioventricular septal defect	1	1	1
C0265339	borjeson-forssman-lehmann syndrome	1	1	1
C0265336	senter syndrome	1	1	2
C0265333	tricho-dento-osseous syndrome (disorder)	1	1	1
C1857144	dyskeratosis congenita, autosomal recessive 1	1	1	1
C3279699	encephalocardiomyopathy, mitochondrial, neonatal, due to atp synthase deficiency	1	1	1
C0410422	chronic multifocal osteomyelitis	1	1	1
C1859298	spinocerebellar ataxia, autosomal recessive 2	1	1	1
C4015323	leukodystrophy, hypomyelinating, 9	1	1	1
C0431664	unilateral cryptorchidism	1	1	2
C4225305	leukodystrophy, hypomyelinating, 11	1	1	1
C4225304	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4	1	1	1
C4225306	charcot-marie-tooth disease, axonal, type 2v	1	1	1
C4225301	osteogenesis imperfecta, type xvii	1	1	1
C4225300	cataract 44	1	1	1
C4225302	neuropathy, hereditary motor and sensory, type vib	1	1	1
C1853736	congenital disorder of glycosylation, type iib	1	1	1
C1853733	hemochromatosis, type 4	1	1	1
C1846496	gaze palsy, familial horizontal, with progressive scoliosis	1	1	1
C3806737	deafness, x-linked 6	1	1	1
C1567257	granulosa cell cancer	1	1	1
C4225178	spasticity, childhood-onset, with hyperglycinemia	1	1	1
C1275685	avellino corneal dystrophy	1	1	1
C4085595	al-raqad syndrome	1	1	1
C4085597	chops syndrome	1	1	1
C4025358	abnormality of reticulocytes	1	1	1
C0001080	achondroplasia	1	1	1
C3553636	interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital	1	1	1
C3888087	charcot-marie-tooth disease, type 2i	1	1	1
C1861736	spinocerebellar ataxia 31 (disorder)	1	1	2
C1861735	dementia, familial danish	1	1	1
C3553758	joubert syndrome 18	1	1	1
C1970483	vesicoureteral reflux 2	1	1	1
C1863395	acrobrachycephaly	1	1	1
C0086431	hurler-scheie syndrome	1	1	1
C0398782	carboxypeptidase n deficiency	1	1	1
C0398788	immunodeficiency syndrome, variable	1	1	1
C0341007	alveolar ridge abnormality	0	0	1
C1838603	retinitis pigmentosa 14	0	0	1
C0263417	cutis verticis gyrata	0	0	2
C4015409	ovarian dysgenesis 4	0	0	1
C1865639	gracile bone dysplasia	0	0	1
C0271055	rhegmatogenous retinal detachment	0	0	0
C1328349	neuropathy ataxia and retinis pigmentosa	0	0	0
C1847640	kufor-rakeb syndrome	0	0	0
C0268146	glucose-6-phosphate transport defect	0	0	0
C3889636	spinocerebellar ataxia 37	0	0	0
C1970109	aromatase excess syndrome	0	0	1
C0152491	salmonella osteomyelitis	0	0	0
C0340231	tracheobronchomalacia	0	0	1
C3150967	klippel-feil syndrome 3, autosomal dominant	0	0	1
C3150969	microphthalmia, isolated 7	0	0	1
C3150968	microphthalmia, isolated, with coloboma 6	0	0	2
C0266324	congenital dilatation of ureter	0	0	1
C3809624	epileptic encephalopathy, early infantile, 18	0	0	0
C1866656	stapes ankylosis with broad thumb and toes (disorder)	0	0	1
C1846689	moyamoya disease 2	0	0	0
C1846685	spastic paraplegia 19, autosomal dominant (disorder)	0	0	0
C2751842	parkinson disease 14, autosomal recessive	0	0	1
C1866039	episodic ataxia, type 5	0	0	0
C1861385	symphalangism, proximal	0	0	2
C0342198	thyrotoxicosis due to pituitary thyroid hormone resistance	0	0	0
C0342194	thyroid dyshormonogenesis 3	0	0	0
C1850889	muscular dystrophy, limb-girdle, type 2b	0	0	1
C3151356	megalencephalic leukoencephalopathy with subcortical cysts 2b, remitting, with or without mental retardation	0	0	0
C3151355	megalencephalic leukoencephalopathy with subcortical cysts 2a	0	0	0
C4015344	peroxisomal fatty acyl-coa reductase 1 disorder	0	0	0
C4015343	macular dystrophy, vitelliform, 5	0	0	1
C4225186	parkinson disease 23, autosomal recessive early-onset	0	0	0
C1842687	pontocerebellar hypoplasia type 3 (disorder)	0	0	0
C1854990	molybdenum cofactor deficiency, complementation group c	0	0	0
C0339537	cone monochromatism	0	0	0
C4021499	short distal phalanx of the 4th finger	0	0	0
C4021490	triangular epiphysis of the middle phalanx of the 3rd finger	0	0	1
C1855114	methylmalonic aciduria due to methylmalonyl-coa mutase deficiency	0	0	0
C3806275	deafness and myopia	0	0	1
C3502469	brain anomalies, retardation, ectodermal dysplasia, skeletal malformations, hirschsprung disease, ear-eye anomalies, cleft palate-cryptorchidism, and kidney dysplasia-hypoplasia	0	0	1
C0220711	long chain acyl-coa dehydrogenase deficiency	0	0	1
C4015285	cardiac conduction disease with or without dilated cardiomyopathy	0	0	0
C0268160	deficiency of fructokinase	0	0	0
C3554524	microphthalmia, isolated 8	0	0	1
C1832550	lamellar ichthyosis, type 2	0	0	1
C1846046	spastic paraplegia 16, x-linked (disorder)	0	0	0
C1843569	spastic paraplegia 24, autosomal recessive (disorder)	0	0	0
C4014958	hyperphosphatasia with mental retardation syndrome 5	0	0	0
C1845530	stocco dos santos syndrome	0	0	1
C1845243	mental retardation, x-linked, syndromic, claes-jensen type	0	0	0
C4014954	neutropenia, severe congenital, 6, autosomal recessive	0	0	0
C4024317	enlarged epiphysis of the middle phalanx of the 2nd finger	0	0	1
C0342642	autosomal dominant hypophosphatemic rickets	0	0	1
C4021534	adult onset sensorineural hearing impairment	0	0	1
C1866636	charcot-marie-tooth disease, type 4c	0	0	1
C3150942	spondylocostal dysostosis 4, autosomal recessive	0	0	1
C1844376	granulomatous disease, chronic, x-linked	0	0	1
C2673923	amelogenesis imperfecta, type ic	0	0	1
C4021399	finger symphalangism	0	0	1
C3279824	kappa-chain deficiency	0	0	0
C1864840	combined oxidative phosphorylation deficiency 3	0	0	0
C1837618	ciliary dyskinesia, primary, 3	0	0	1
C0917715	hajdu-cheney syndrome	0	0	0
C3280616	cranioectodermal dysplasia 4	0	0	1
C3280612	nephronophthisis 13	0	0	1
C2931218	tetraamelia multiple malformations	0	0	1
C4023728	1-5 finger syndactyly	0	0	0
C0271714	hypoglycemia, leucine-induced	0	0	1
C3551716	cortisone reductase deficiency 1	0	0	1
C3809899	episodic pain syndrome, familial, 3	0	0	1
C1857093	dystonia 2, torsion, autosomal recessive (disorder)	0	0	0
C0339510	vitelliform macular dystrophy	0	0	3
C1838854	deafness, aminoglycoside-induced	0	0	1
C0342749	glycogen storage disease ic	0	0	0
C1847604	van der woude syndrome 2	0	0	0
C1834931	cystic renal dysplasia	0	0	1
C2931008	congenital disorder of glycosylation type 2a	0	0	1
C0796089	lissencephaly syndrome, norman-roberts type	0	0	1
C2931005	congenital disorder of glycosylation type 1k	0	0	1
C1836006	nanophthalmos 2 (disorder)	0	0	1
C1963905	infantile free sialic acid storage disease	0	0	1
C3280729	radiohumeral fusions with other skeletal and craniofacial anomalies	0	0	1
C1857423	cystic kidney disease with ventriculomegaly	0	0	0
C0155015	color blindness, red	0	0	0
C3150797	autoimmune disease, susceptibility to, 6	0	0	1
C1835407	hepatitis c virus, susceptibility to	0	0	2
C0403555	ochoa syndrome	0	0	2
C0272339	prekallikrein deficiency	0	0	1
C2675369	chromosome 22q11.2 microduplication syndrome	0	0	1
C1867968	porphyria cutanea tarda, type i	0	0	1
C2751802	attention deficit-hyperactivity disorder, susceptibility to, 7	0	0	1
C3280797	charcot-marie-tooth disease, axonal, type 2p	0	0	0
C0086649	mps iii c	0	0	1
C1562689	congenital hereditary endothelial dystrophy	0	0	1
C1833247	schizophrenia 4 (disorder)	0	0	0
C3278138	fibrochondrogenesis 1	0	0	1
C3809872	periventricular nodular heterotopia 6	0	0	1
C1838876	mitochondrial myopathy, lethal, infantile	0	0	0
C1840390	pseudohypoaldosteronism, type iib	0	0	0
C1840391	pseudohypoaldosteronism, type iic	0	0	0
C1840392	hyperpigmentation, familial progressive	0	0	1
C2609268	low phospholipid-associated cholelithiasis	0	0	0
C1847626	deafness, autosomal dominant 36	0	0	1
C0268297	pseudovaginal perineoscrotal hypospadias	0	0	1
C0268292	congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	0	0	1
C0268293	corticosterone methyl oxidase type i deficiency	0	0	1
C0220754	biotinidase deficiency	0	0	1
C1969060	premature ovarian failure 5	0	0	1
C1969063	cavitary optic disc anomalies	0	0	1
C0268123	muscle amp deaminase deficiency	0	0	2
C2675993	pancreatic squamous cell carcinoma	0	0	0
C1856465	ghosal hematodiaphyseal dysplasia	0	0	1
C0399368	amelogenesis imperfecta, type ib	0	0	1
C2020284	stickler syndrome, type 1	0	0	0
C3554079	combined oxidative phosphorylation deficiency 12	0	0	1
C3280428	alpha-methylacyl-coa racemase deficiency	0	0	1
C3809464	myopia 22, autosomal dominant	0	0	1
C4023113	small vessel vasculitis	0	0	0
C3279800	keppen-lubinsky syndrome	0	0	1
C4024856	redundant skin on fingers	0	0	1
C0268448	primary hypomagnesemia (disorder)	0	0	2
C3150986	epileptic encephalopathy, early infantile, 7	0	0	0
C0238378	desquamative interstitial pneumonia	0	0	2
C3280226	spinocerebellar ataxia, autosomal recessive 11	0	0	1
C1969652	brachydactyly, type b2 (disorder)	0	0	1
C3539888	ichthyosis, congenital, autosomal recessive 3	0	0	1
C0398626	heparin cofactor ii deficiency (disorder)	0	0	1
C4020912	flared humeral metaphysis	0	0	0
C0392482	common atrium	0	0	2
C1833487	varicella, severe recurrent	0	0	1
C1853445	parkinson disease 7, autosomal recessive early-onset	0	0	0
C0432292	familial expansile osteolysis	0	0	1
C2675526	neutropenia, severe congenital, autosomal recessive 4	0	0	1
C0796182	acromelic frontonasal dysplasia	0	0	1
C2745959	spondyloepiphyseal dysplasia, congenita	0	0	0
C0342289	diabetes-deafness syndrome maternally transmitted (disorder)	0	0	0
C3809853	mental retardation, autosomal recessive 39	0	0	1
C1112442	female sexual dysfunction	0	0	1
C4024441	enlarged epiphysis of the middle phalanx of the 3rd finger	0	0	1
C4225293	thyroid cancer, nonmedullary, 4	0	0	1
C4225290	combined oxidative phosphorylation deficiency 26	0	0	0
C3553328	uv-sensitive syndrome 3	0	0	1
C4025249	abnormality of the intervertebral disk	0	0	2
C1836027	deafness, autosomal recessive 23	0	0	1
C1866426	t-cell immunodeficiency, congenital alopecia and nail dystrophy	0	0	1
C0342873	glutaric aciduria iii	0	0	1
C4020744	familial primary hyperaldosteronism type 1	0	0	2
C4020742	familial primary hyperaldosteronism type 2	0	0	1
C4020743	glucocorticoid-remediable familial primary aldosteronism	0	0	2
C3279470	hypotrichosis 8	0	0	1
C1969040	muscular dystrophy, limb-girdle, type 2m	0	0	1
C2931046	heart defect, tongue hamartoma and polysyndactyly	0	0	1
C2931488	zlotogora-ogur syndrome	0	0	0
C3541462	hypogonadotropic hypogonadism 13 with or without anosmia	0	0	1
C1865409	amyotrophic lateral sclerosis 4, juvenile	0	0	0
C1857802	morm syndrome	0	0	1
C0034543	radicular cyst	0	0	1
C4015342	macular dystrophy, vitelliform, 4	0	0	0
C4072995	difficulty adjusting from light to dark	0	0	0
C4015596	myasthenic syndrome, congenital, 15	0	0	1
C3809332	t-cell receptor-alpha/beta deficiency	0	0	0
C4023134	flattened metacarpal heads	0	0	1
C1862839	anterior segment mesenchymal dysgenesis	0	0	2
C1843891	spinocerebellar ataxia 21	0	0	1
C4021835	sacral lipoma	0	0	0
C1858915	focal segmental glomerulosclerosis 2	0	0	0
C1853278	bleeding disorder due to p2ry12 defect	0	0	1
C0795889	allan-herndon-dudley syndrome (ahds)	0	0	1
C1861305	tarsal-carpal coalition syndrome	0	0	1
C0029411	osteoarthropathy, primary hypertrophic	0	0	2
C1970237	microphthalmia, isolated 3	0	0	1
C1970236	microphthalmia, posterior, with retinitis pigmentosa, foveoschisis, and optic disc drusen	0	0	1
C1861922	campomelic dysplasia	0	0	0
C1837014	atrial fibrillation, familial, 3	0	0	1
C1837541	spinocerebellar ataxia 20	0	0	0
C3151476	mitochondrial dna depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	0	0	0
C3150414	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 6	0	0	0
C3150413	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 5	0	0	1
C3150411	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 2	0	0	1
C3150419	nephronophthisis-like nephropathy 1	0	0	1
C3150418	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 2	0	0	1
C0220998	hypothalamic hypothyroidism	0	0	1
C0265286	dyggve-melchior-clausen syndrome	0	0	1
C1835854	deafness, autosomal recessive 68	0	0	1
C1864356	acromesomelic dysplasia, maroteaux type	0	0	1
C1739384	angel shaped phalangoepiphyseal dysplasia	0	0	1
C3277900	nail disorder, nonsyndromic congenital, 4	0	0	1
C3280856	ichthyosis, spastic quadriplegia, and mental retardation	0	0	0
C3554687	il21r immunodeficiency	0	0	1
C1857569	corneal endothelial dystrophy 2	0	0	1
C3808786	albinism, oculocutaneous, type vii	0	0	0
C4274029	biliary atresia with splenic malformation syndrome	0	0	1
C0281361	adenocarcinoma of pancreas	0	0	0
C4025226	pectoral muscle hypoplasia/aplasia	0	0	1
C0399380	dentin dyspalsia, shields type 2	0	0	1
C0033835	pseudopseudohypoparathyroidism	0	0	0
C0268252	late-onset globoid cell leukodystrophy	0	0	1
C2932716	pseudohypoparathyroidism type 1c	0	0	0
C3280073	craniosynostosis and dental anomalies	0	0	1
C0410174	fukuyama type congenital muscular dystrophy	0	0	1
C1969024	cardiomyopathy, dilated, 1x	0	0	1
C2752062	epilepsy, idiopathic generalized, susceptibility to, 8	0	0	0
C1855739	indifference to pain, congenital, autosomal recessive	0	0	0
C2936879	spastic paraplegia 36, autosomal dominant	0	0	0
C2678484	long qt syndrome 10	0	0	1
C3809312	atrial fibrillation, familial, 14	0	0	1
C4015062	combined oxidative phosphorylation deficiency 22	0	0	0
C3151898	mitochondrial myopathy, infantile, transient	0	0	1
C3151897	deafness, nonsyndromic sensorineural, mitochondrial	0	0	2
C3810072	palmoplantar keratoderma, nagashima type	0	0	1
C1853250	spinocerebellar ataxia 23	0	0	1
C1623209	okihiro syndrome	0	0	1
C2930924	interferon gamma, receptor 1, deficiency	0	0	0
C2930922	reginato schiapachasse syndrome	0	0	1
C1970211	spinal muscular atrophy, distal, autosomal recessive, 4	0	0	1
C1394891	intrinsic factor deficiency	0	0	1
C3278664	liver failure, infantile, transient	0	0	1
C0342705	folate malabsorption, hereditary	0	0	1
C3150953	long qt syndrome 6	0	0	1
C0265914	anomalous pulmonary vein	0	0	1
C0265910	congenital hypoplasia of pulmonary artery	0	0	1
C1861828	cataract, zonular pulverulent 1	0	0	1
C4020953	abnormality of vertebral epiphysis morphology	0	0	0
C3714933	myopathy due to myoadenylate deaminase deficiency	0	0	1
C3665628	hypomineralization of enamel of tooth	0	0	2
C1563719	kallmann syndrome 1	0	0	0
C0751951	central core myopathy (disorder)	0	0	1
C4225257	epileptic encephalopathy, early infantile, 34	0	0	1
C4225256	epileptic encephalopathy, early infantile, 35	0	0	0
C4225258	epilepsy, progressive myoclonic, 10	0	0	1
C3554374	dystonia 24	0	0	1
C0008533	hemophilia b	0	0	1
C3809104	symphalangism, proximal, 1b	0	0	1
C3809105	perrault syndrome 4	0	0	1
C4012790	ataxia-telangiectasia-like disorder 1	0	0	0
C0272167	reticular dysgenesis	0	0	0
C1860405	snowflake vitreoretinal degeneration	0	0	1
C3550478	hypogonadotropic hypogonadism 3 with or without anosmia	0	0	1
C3275438	autism, susceptibility to, x-linked 5	0	0	0
C3151267	cardiomyopathy, familial hypertrophic, 20	0	0	0
C3151266	cardiomyopathy, familial hypertrophic, 19	0	0	1
C2936860	spastic paraplegia 25, autosomal recessive	0	0	0
C1858133	ichthyosis, nonlamellar and nonerythrodermic, congenital, autosomal recessive	0	0	1
C4022969	small proximal tibial epiphyses	0	0	1
C1833053	proprotein convertase 1 3 deficiency	0	0	1
C3553774	interstitial nephritis, karyomegalic	0	0	0
C2675463	chromosome 15q26-qter deletion syndrome	0	0	1
C1837229	muscular dystrophy, congenital, type 1d	0	0	3
C4021438	short distal phalanx of the 2nd finger	0	0	0
C4021432	triangular shaped proximal phalanx of the 2nd finger	0	0	1
C3553977	hypogonadotropic hypogonadism 15 with or without anosmia	0	0	1
C1527284	dental pulp stone	0	0	1
C3275898	renal dysplasia, cystic, susceptibility to	0	0	1
C2931074	cone rod dystrophy amelogenesis imperfecta	0	0	1
C2936858	congenital adrenal hyperplasia due to 21 hydroxylase deficiency	0	0	1
C1838571	ceroid lipofuscinosis, neuronal, 7	0	0	1
C0268186	congenital glucose-galactose malabsorption	0	0	1
C0268187	alpha, alpha-trehalase deficiency	0	0	1
C1968845	primary lateral sclerosis, adult, 1	0	0	0
C1847024	albinism, oculocutaneous, type ib (disorder)	0	0	1
C3887980	colorblindness, partial, protan series	0	0	0
C3469605	pseudohypoaldosteronism, type iid	0	0	0
C1843851	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	0	0	1
C1860238	woolly hair, autosomal dominant	0	0	1
C1846648	microcephaly, amish type (disorder)	0	0	1
C3809592	mitochondrial dna depletion syndrome 13 (encephalomyopathic type)	0	0	1
C1409412	periostosis	0	0	1
C4024349	triangular shaped proximal phalanx of the 3rd finger	0	0	1
C3554117	ectodermal dysplasia 7, hair/nail type	0	0	1
C4025697	gastrointestinal atresia	0	0	0
C3280240	microcephaly, epilepsy, and diabetes syndrome	0	0	0
C2750790	ciliary dyskinesia, primary, 13	0	0	1
C0239119	lenticonus	0	0	1
C4225251	combined oxidative phosphorylation deficiency 27	0	0	1
C4225250	spastic paraplegia 75, autosomal recessive	0	0	1
C4021847	abnormal cartilage collagen	0	0	0
C0268514	urocanase deficiency	0	0	1
C1835819	pituitary anomalies with holoprosencephaly-like features (disorder)	0	0	0
C3554398	spinal muscular atrophy, jokela type	0	0	1
C3554399	night blindness, congenital stationary, type 1f	0	0	1
C2676766	osteopetrosis, autosomal recessive 7	0	0	1
C4225271	adams-oliver syndrome 6	0	0	1
C4225273	spondyloepiphyseal dysplasia, stanescu type	0	0	0
C1853354	peeling skin syndrome, acral type	0	0	1
C1832615	hyperparathyroidism, neonatal severe	0	0	0
C2750090	charcot-marie-tooth disease, axonal, type 2n	0	0	0
C2681923	retinitis pigmentosa 2 (disorder)	0	0	1
C0018523	hallervorden-spatz syndrome	0	0	1
C4020850	generalized trichodysplasia	0	0	2
C4021454	triangular epiphysis of the proximal phalanx of the 2nd finger	0	0	1
C2751052	muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type b, 4	0	0	1
C0345408	hereditary clubbing	0	0	1
C0730294	north carolina macular dystrophy	0	0	0
C0220693	microcephaly autosomal dominant	0	0	1
C0542428	hypochondrogenesis	0	0	0
C4014371	immunodeficiency 23	0	0	0
C4024362	triangular shaped middle phalanx of the 3rd finger	0	0	1
C1860406	vitreoretinochoroidopathy (disorder)	0	0	1
C4225425	anemia, sideroblastic, 2, pyridoxine-refractory	0	0	0
C1859844	leber congenital amaurosis, type ii (disorder)	0	0	1
C1863704	spastic paraplegia 8, autosomal dominant	0	0	0
C1854568	spastic paraplegia 14, autosomal recessive (disorder)	0	0	0
C1853296	spondylocostal dysostosis, autosomal recessive 3	0	0	1
C3151432	hypotrichosis 3	0	0	1
C4280253	increased porosity of tooth enamel	0	0	2
C2676023	hypercarotenemia and vitamin a deficiency, autosomal dominant	0	0	0
C1836439	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3	0	0	0
C1836383	spinocerebellar ataxia 27	0	0	1
C4273658	graham little piccardi lassueur syndrome	0	0	1
C0349633	hairy cell leukemia variant	0	0	0
C0432215	progressive pseudorheumatoid dysplasia	0	0	1
C2931783	amelogenesis imperfecta nephrocalcinosis	0	0	0
C2931781	adenosine monophosphate deaminase deficiency	0	0	2
C1858079	osteoarthritis with mild chondrodysplasia	0	0	0
C3808986	hypogonadotropic hypogonadism 21 with or without anosmia	0	0	1
C1864668	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 4	0	0	1
C0796275	brunner syndrome	0	0	1
C1864446	retinitis pigmentosa 25	0	0	1
C4014588	leukoencephalopathy, progressive, with ovarian failure	0	0	0
C3151190	retinitis pigmentosa 48	0	0	1
C3149074	seizures, benign familial neonatal, 1	0	0	0
C4024620	widened sacrosciatic notch	0	0	0
C4225217	heterotaxy, visceral, 7, autosomal	0	0	1
C4225214	woolly hair, autosomal recessive 3	0	0	0
C4225210	oocyte maturation defect 2	0	0	0
C4025713	paroxysmal drowsiness	0	0	1
C0340848	pulmonary venoocclusive disease 2, autosomal recessive	0	0	0
C2678223	mental retardation, x-linked, with panhypopituitarism	0	0	1
C1842371	deafness, autosomal dominant 41 (disorder)	0	0	1
C3808899	mitochondrial complex v (atp synthase) deficiency, nuclear type 4	0	0	0
C4020870	abnormality of the hip joint	0	0	1
C0017675	glossitis	0	0	1
C0013537	eclampsia	0	0	1
C1834460	cardiomyopathy, familial hypertrophic, 10	0	0	0
C4015513	myopathy, isolated mitochondrial, autosomal dominant	0	0	1
C3887494	ectodermal dysplasia 10b, hypohidrotic/hair/tooth type, autosomal recessive	0	0	1
C0268494	oculocutaneous albinism type 1	0	0	1
C1843816	bothnia retinal dystrophy	0	0	1
C0270724	infantile neuroaxonal dystrophy	0	0	1
C3554453	spermatogenic failure 11	0	0	1
C4225402	premature ovarian failure 10	0	0	1
C4225153	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 1	0	0	1
C4225157	familial adenomatous polyposis 3	0	0	0
C1321907	congenital absence of parathyroid gland	0	0	1
C1857316	polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	0	0	2
C1845333	mental retardation, x-linked 45	0	0	1
C1858054	bardet-biedl syndrome 6	0	0	0
C1858051	north american indian childhood cirrhosis	0	0	0
C2981132	shell teeth	0	0	1
C1836672	total hypotrichosis, mari type	0	0	1
C4014294	desbuquois dysplasia 2	0	0	1
C1855923	hyperphosphatasia with mental retardation	0	0	1
C0220666	arthrogryposis multiplex congenita, distal, type iia	0	0	1
C4013948	immunodeficiency 29	0	0	1
C4024970	thick cerebral cortex	0	0	4
C4015701	meckel syndrome 12	0	0	0
C0796250	partington x-linked mental retardation syndrome	0	0	1
C4225234	congenital disorder of glycosylation, type iin	0	0	1
C0424082	hallucinations, hypnapompic	0	0	1
C0268505	ocular albinism, type ii	0	0	0
C3553078	agenesis of pineal gland	0	0	1
C3553077	microphthalmia, syndromic 11	0	0	1
C4025732	tubulointerstitial abnormality	0	0	1
C3280346	myopia, high, with cataract and vitreoretinal degeneration	0	0	0
C1836080	stickler syndrome, type i, nonsyndromic ocular	0	0	0
C1845294	ovarian dysgenesis 2	0	0	1
C4020815	agenesis of incisor	0	0	0
C4020816	absence of incisors	0	0	0
C2931355	spastic paraplegia 3, autosomal dominant	0	0	1
C2931356	spastic paraplegia type 5a, recessive	0	0	1
C3495589	jalili syndrome	0	0	1
C3495587	night blindness, congenital stationary, type 1a	0	0	1
C1839463	tarp syndrome	0	0	0
C3280974	trigonocephaly 2	0	0	0
C4225399	short stature with nonspecific skeletal abnormalities	0	0	1
C4225392	coenzyme q10 deficiency, primary, 7	0	0	0
C4225395	mental retardation, autosomal recessive 48	0	0	1
C3810380	retinitis pigmentosa 68	0	0	1
C1866552	paragangliomas 2 (disorder)	0	0	0
C4225179	cowden syndrome 7	0	0	0
C0036346	schizophrenia, childhood	0	0	0
C1832998	epiphyseal dysplasia, multiple, 3	0	0	1
C1832992	deafness, autosomal recessive 6	0	0	1
C3275508	multiple congenital anomalies-hypotonia-seizures syndrome 2	0	0	1
C0008384	cholesterol ester storage disease	0	0	1
C3281297	deafness, autosomal dominant 4b	0	0	1
C0398595	myeloperoxidase deficiency	0	0	1
C3888031	spinocerebellar ataxia 35	0	0	1
C4025050	irregular distal femoral epiphysis	0	0	2
C1862472	oculomelic amyoplasia	0	0	1
C1970298	progressive familial heart block, type ib	0	0	1
C0398739	congenital disorder of glycosylation, type 2c	0	0	1
C3150706	frontonasal dysplasia 3	0	0	0
C3150700	mental retardation, autosomal dominant 20	0	0	0
C4225269	craniosynostosis 6	0	0	1
C1843852	spinocerebellar ataxia with epilepsy	0	0	1
C1836472	nemaline myopathy 6	0	0	1
C2750234	cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2	0	0	0
C1836694	striatal degeneration, autosomal dominant	0	0	1
C1864623	diabetes mellitus, transient neonatal, 3 (disorder)	0	0	1
C1864621	retinitis pigmentosa 36	0	0	0
C1415817	heterotaxy, visceral, 2, autosomal	0	0	1
C0948368	kaufman-mckusick syndrome	0	0	0
C1848805	thyroid dyshormonogenesis 1	0	0	3
C0265223	cohen syndrome	0	0	1
C4015729	peeling skin syndrome 3	0	0	1
C4024950	nonprogressive encephalopathy	0	0	1
C0266573	congenital ptosis	0	0	0
C2750076	miyoshi muscular dystrophy 3	0	0	1
