C0000744	abetalipoproteinemia
C3541518	ectopia lentis 1, isolated, autosomal dominant
C3541853	nephronophthisis 15
C3542022	short stature, onychodysplasia, facial dysmorphism, and hypotrichosis syndrome
C3542024	aortic valve disease 2
C3542026	peroxisome biogenesis disorder 5b
C3542501	acute inflammatory demyelinating polyneuropathy
C3542549	spastic paraplegia 49, autosomal recessive
C3542550	ciliary dyskinesia, primary, 17
C3543825	ciliary dyskinesia, primary, 18
C3543826	ciliary dyskinesia, primary, 19
C3544092	urgency frequency syndrome
C3544321	treatment-resistant schizophrenia
C3549447	alternating hemiplegia of childhood 1
C3549845	cholestasis, intrahepatic, of pregnancy, 1
C3549874	metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly
C3550234	peroxisome biogenesis disorder 2b
C3550478	hypogonadotropic hypogonadism 3 with or without anosmia
C3550693	peroxisome biogenesis disorder 3b
C3550789	thrombocytopenia, x-linked, with or without dyserythropoietic anemia
C3550856	anemia, x-linked, with or without neutropenia and/or platelet abnormalities
C3550875	autism, susceptibility to, x-linked 6
C3550903	cornelia de lange syndrome 5
C3550904	epileptic encephalopathy, early infantile, 36
C3550913	mental retardation, x-linked, syndromic 32
C3550963	hypothyroidism, central, and testicular enlargement
C3550973	neurodegeneration with brain iron accumulation 5
C3551052	night blindness, stationary
C3551716	cortisone reductase deficiency 1
C3551954	coenzyme q10 deficiency, primary, 1
C3552236	polymicrogyria, symmetric or asymmetric
C3552335	myasthenic syndrome, congenital, 12
C3552343	hypogonadotropic hypogonadism 4 with or without anosmia
C3552553	hypogonadotropic hypogonadism 5 with or without anosmia
C3552574	hypogonadotropic hypogonadism 6 with or without anosmia
C3552634	lymphoproliferative syndrome 1
C3553016	peripheral retinal atrophy
C3553060	emery-dreifuss muscular dystrophy 7, autosomal dominant
C3553077	microphthalmia, syndromic 11
C3553078	agenesis of pineal gland
C3553230	congenital disorder of glycosylation, type iil
C3553248	mental retardation, autosomal dominant 15
C3553249	mental retardation, autosomal dominant 16
C3553250	acrodysostosis 2 with or without hormone resistance
C3553264	joubert syndrome 17
C3553270	diarrhea 6
C3553288	hyperekplexia 3
C3553291	hyperekplexia 2
C3553298	uv-sensitive syndrome 2
C3553328	uv-sensitive syndrome 3
C3553330	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7
C3553349	coenzyme q10 deficiency, primary, 6
C3553354	coenzyme q10 deficiency, primary, 2
C3553358	coenzyme q10 deficiency, primary, 3
C3553374	coenzyme q10 deficiency, primary, 5
C3553404	auriculocondylar syndrome 2
C3553409	cardiomyopathy, dilated, 2b
C3553449	pontocerebellar hypoplasia, type 1b
C3553450	profound global developmental delay
C3553512	immunodeficiency, common variable, 8, with autoimmunity
C3553517	cornelia de lange syndrome 4
C3553529	combined oxidative phosphorylation deficiency 10
C3553538	brown-vialetto-van laere syndrome 2
C3553549	porokeratosis 7, multiple types
C3553571	congenital disorder of glycosylation, type iik
C3553587	glucocorticoid deficiency 4
C3553597	3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome
C3553607	mitochondrial pyruvate carrier deficiency
C3553617	pulmonary fibrosis and/or bone marrow failure, telomere-related, 1
C3553625	facial paresis, hereditary congenital, 3
C3553636	interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital
C3553637	hyperphosphatasia with mental retardation syndrome 2
C3553645	myasthenic syndrome, congenital, 13
C3553660	sotos syndrome 2
C3553661	cerebellar ataxia, nonprogressive, with mental retardation
C3553709	myopathy, centronuclear, 4
C3553719	amyotrophic lateral sclerosis 18
C3553720	cfhr5 deficiency
C3553748	adams-oliver syndrome 3
C3553754	absent toes
C3553758	joubert syndrome 18
C3553762	loeys-dietz syndrome 4
C3553774	interstitial nephritis, karyomegalic
C3553785	weill-marchesani syndrome 3
C3553788	alternating hemiplegia of childhood 2
C3553793	spermatogenic failure 10
C3553813	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8
C3553816	spinocerebellar ataxia, autosomal recessive 13
C3553831	microcephaly, short stature, and polymicrogyria with or without seizures
C3553841	hypogonadotropic hypogonadism 8 with or without anosmia
C3553842	hypogonadotropic hypogonadism 9 with or without anosmia
C3553843	hypogonadotropic hypogonadism 10 with or without anosmia
C3553844	hypogonadotropic hypogonadism 11 with or without anosmia
C3553859	epilepsy, idiopathic generalized, susceptibility to, 12
C3553868	herpes simplex encephalitis, susceptibility to, 3
C3553869	herpes simplex encephalitis, susceptibility to, 4
C3553870	seckel syndrome 7
C3553886	microcephaly 9, primary, autosomal recessive
C3553887	osteogenesis imperfecta, type xiii
C3553915	methylmalonic aciduria and homocystinuria, cblj type
C3553929	peroxisome biogenesis disorder 3a (zellweger)
C3553936	peroxisome biogenesis disorder 4a (zellweger)
C3553943	t-cell immunodeficiency, recurrent infections, and autoimmunity with or without cardiac malformations
C3553944	usher syndrome, type ij
C3553948	peroxisome biogenesis disorder 6b
C3553951	peroxisome biogenesis disorder 7b
C3553958	metaphyseal enchondromatosis with d-2-hydroxyglutaric aciduria
C3553960	peroxisome biogenesis disorder 8b
C3553961	autoinflammation, antibody deficiency, and immune dysregulation, plcg2-associated
C3553977	hypogonadotropic hypogonadism 15 with or without anosmia
C3553989	spinal muscular atrophy, distal, autosomal recessive, 5
C3553999	peroxisome biogenesis disorder 10a (zellweger)
C3554001	peroxisome biogenesis disorder 11b
C3554018	sinoatrial node dysfunction and deafness
C3554021	hypogonadotropic hypogonadism 16 with or without anosmia
C3554047	ventricular tachycardia, catecholaminergic polymorphic, 4
C3554067	combined oxidative phosphorylation deficiency 11
C3554078	branched-chain keto acid dehydrogenase kinase deficiency
C3554079	combined oxidative phosphorylation deficiency 12
C3554105	perrault syndrome 2
C3554113	thin toenails
C3554117	ectodermal dysplasia 7, hair/nail type
C3554129	combined oxidative phosphorylation deficiency 13
C3554163	deafness, autosomal recessive 18b
C3554168	combined oxidative phosphorylation deficiency 14
C3554182	combined oxidative phosphorylation deficiency 15
C3554195	epileptic encephalopathy, early infantile, 14
C3554209	pontocerebellar hypoplasia, type 8
C3554224	leptin deficiency or dysfunction
C3554225	leptin receptor deficiency
C3554235	joubert syndrome 20
C3554241	cholestasis, intrahepatic, of pregnancy 3
C3554246	focal facial dermal dysplasia 4
C3554247	carpenter syndrome 2
C3554279	congenital heart defects, multiple types, 2
C3554306	epilepsy, nocturnal frontal lobe, 5
C3554316	epileptic encephalopathy, early infantile, 15
C3554321	basal ganglia calcification, idiopathic, 4
C3554330	nephrotic syndrome, type 7
C3554343	mental retardation, autosomal dominant 17
C3554344	phosphohydroxylysinuria
C3554355	ichthyosis, congenital, autosomal recessive 10
C3554366	charcot-marie-tooth disease, axonal, type 2q
C3554367	epidermolysis bullosa, nonspecific, autosomal recessive
C3554374	dystonia 24
C3554381	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10
C3554385	congenital disorder of glycosylation, type iu
C3554398	spinal muscular atrophy, jokela type
C3554399	night blindness, congenital stationary, type 1f
C3554409	hypotrichosis 11
C3554415	arthrogryposis, distal, type 5d
C3554439	alazami syndrome
C3554446	brachydactyly, type a1, c
C3554447	dystonia 25
C3554448	mental retardation, autosomal dominant 18
C3554449	mental retardation, autosomal dominant 19
C3554453	spermatogenic failure 11
C3554460	colorectal cancer, susceptibility to, 12
C3554462	mitochondrial dna depletion syndrome 11
C3554478	osteopetrosis, autosomal recessive 8
C3554496	left ventricular noncompaction 7
C3554499	microcephaly 10, primary, autosomal recessive
C3554518	cowden syndrome 5
C3554519	cowden syndrome 6
C3554524	microphthalmia, isolated 8
C3554534	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2
C3554540	lymphoproliferative syndrome 2
C3554576	facial dysmorphism, immunodeficiency, livedo, and short stature
C3554593	retinal dystrophy, iris coloboma, and comedogenic acne syndrome
C3554594	steel syndrome
C3554599	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 6
C3554607	mitochondrial complex iii deficiency, nuclear type 4
C3554608	mitochondrial complex iii deficiency, nuclear type 5
C3554638	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11
C3554649	cardiomyopathy, dilated, 1ii
C3554654	charcot-marie-tooth disease, dominant intermediate f
C3554656	dyskeratosis congenita, autosomal recessive 5
C3554657	lissencephaly 5
C3554663	bleeding disorder, platelet-type, 15
C3554686	immunodeficiency 11
C3554687	il21r immunodeficiency
C3554690	ataxia-oculomotor apraxia 3
C3665333	keratitis-ichthyosis-deafness syndrome
C3665342	progressive cone dystrophy
C3665349	secondary hypothyroidism
C3665358	galactorrhea
C3665425	hemoglobin m disease
C3665439	mature cataract
C3665488	familial osteochondritis dissecans
C3665596	warts
C3665628	hypomineralization of enamel of tooth
C3665704	congenital reticular ichthyosiform erythroderma
C3668940	dmd-associated dilated cardiomyopathy
C3668942	atelosteogenesis type 3
C3668943	fatty acid hydroxylase-associated neurodegeneration
C3671887	sodium concentration in urine above normal
C3694531	glycogen storage disease ixa1
C3695063	charcot-marie-tooth disease, type 4b3
C3696376	3-methylglutaconic aciduria
C3697269	15q24 microdeletion
C3697982	pulmonary arterial hypertension associated with connective tissue disease
C3698239	cerebral cortex myoclonus
C3698541	ohdo syndrome, maat-kievit-brunner type
C3710589	cap myopathy
C3711381	hereditary diffuse leukoencephalopathy with spheroids
C3711389	actin-accumulation myopathy
C3714497	reactive airway disease
C3714506	meckel syndrome type 1
C3714524	fibromyxosarcoma
C3714534	dowling-degos disease
C3714580	hypokalemic periodic paralysis type 1
C3714581	multicystic dysplastic kidney
C3714753	retinoschisis 1, x-linked, juvenile
C3714757	juvenile rheumatoid arthritis
C3714796	isolated somatotropin deficiency
C3714873	axenfeld-rieger syndrome, type 1
C3714896	smith-mccort dysplasia 2
C3714897	spastic paraplegia 57, autosomal recessive
C3714899	symphalangism, proximal, 1a
C3714927	multiple system atrophy 1, susceptibility to
C3714932	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 14
C3714933	myopathy due to myoadenylate deaminase deficiency
C3714934	myopathy, myofibrillar, 3
C3714942	otofaciocervical syndrome 2
C3714948	pachyonychia congenita 3
C3714949	pachyonychia congenita 4
C3714976	activated pi3k-delta syndrome
C3714980	bardet-biedl syndrome 17
C3714992	candidiasis, familial, 8
C3714995	cardiomyopathy, dilated, 1kk
C3715049	ceroid lipofuscinosis, neuronal, 13
C3715051	craniosynostosis 3
C3715082	epidermolysis bullosa simplex, autosomal recessive 1
C3715128	hypocalcemia, autosomal dominant 1
C3715155	amyotrophic lateral sclerosis 19
C3715156	amyotrophic lateral sclerosis 20
C3715164	leber congenital amaurosis 17
C3715165	left ventricular noncompaction 10
C3715192	andibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome
C3715199	renal-hepatic-pancreatic dysplasia 1
C3715216	retinitis pigmentosa 66
C3804986	paranasal sinus aplasia
C3804991	benign genitourinary tract neoplasm
C3805373	cataract 13 with adult i phenotype
C3805410	cataract 20, multiple types
C3805411	cataract 30
C3805412	cataract 41
C3805604	foveal hypoplasia 1
C3805879	precocious puberty, central, 1
C3805887	generalized osteoporosis with pathologic fractures
C3806153	anemia, hypochromic microcytic, with iron overload 1
C3806275	deafness and myopia
C3806285	recurrent infections due to aspiration
C3806330	osteomyelitis due to immunodeficiency
C3806402	epilepsy, focal, with speech disorder and with or without mental retardation
C3806533	tibial deviation of toes
C3806554	dysseborrheic dermatitis
C3806634	deafness, dystonia, and cerebral hypomyelination
C3806660	enteroviral dermatomyositis syndrome
C3806670	paroxysmal nocturnal hemoglobinuria 1
C3806688	congenital disorder of glycosylation, type iim
C3806702	charcot-marie-tooth disease, x-linked dominant, 6
C3806722	parkinsonism with spasticity, x-linked
C3806730	mental retardation, x-linked 98
C3806737	deafness, x-linked 6
C3806745	palmoplantar keratoderma, mutilating, with periorificial keratotic plaques, x-linked
C3806746	mental retardation, x-linked 99
C3806917	craniosynostosis 4
C3807295	cerebellar ataxia, deafness, and narcolepsy, autosomal dominant
C3807327	advanced sleep phase syndrome, familial, 1
C3807521	amyotrophic lateral sclerosis 21
C3807873	foveal hypoplasia 2
C3808012	cataract 23
C3808115	cataract 12, multiple types
C3808184	mental retardation, autosomal dominant 22
C3808300	chromosome 17p13.3, centromeric, duplication syndrome
C3808377	cataract 16, multiple types
C3808397	cortical dysplasia, complex, with other brain malformations 1
C3808414	perrault syndrome 3
C3808553	bone marrow failure syndrome 1
C3808589	immunodeficiency 32a
C3808667	episodic pain syndrome, familial, 1
C3808739	myasthenic syndrome, congenital, 8
C3808786	albinism, oculocutaneous, type vii
C3808820	hepatitis, chronic, due to cryptosporidium infection
C3808844	osteogenesis imperfecta, type xv
C3808874	advanced sleep phase syndrome, familial, 2
C3808876	corneal intraepithelial dyskeratosis and ectodermal dysplasia
C3808889	polydactyly, postaxial, type a6
C3808899	mitochondrial complex v (atp synthase) deficiency, nuclear type 4
C3808920	anemia, hypochromic microcytic, with iron overload 2
C3808935	cardiomyopathy, dilated, 1jj
C3808940	lipodystrophy, familial partial, type 5
C3808964	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12
C3808971	hypogonadotropic hypogonadism 17 with or without anosmia
C3808975	hypogonadotropic hypogonadism 18 with or without anosmia
C3808977	cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4
C3808981	hypogonadotropic hypogonadism 19 with or without anosmia
C3808983	hypogonadotropic hypogonadism 20 with or without anosmia
C3808986	hypogonadotropic hypogonadism 21 with or without anosmia
C3808988	fanconi anemia, complementation group q
C3808991	congenital disorder of deglycosylation
C3809001	cataract 15, multiple types
C3809004	cataract 19, multiple types
C3809005	cardiofaciocutaneous syndrome 2
C3809006	cardiofaciocutaneous syndrome 3
C3809007	cardiofaciocutaneous syndrome 4
C3809008	hypomyelination with brainstem and spinal cord involvement and leg spasticity
C3809013	cortical dysplasia, complex, with other brain malformations 2
C3809031	neutropenia, severe congenital, 5, autosomal recessive
C3809039	mental retardation, autosomal recessive 36
C3809042	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13
C3809049	spinal muscular atrophy, lower extremity-predominant, 2, autosomal dominant
C3809084	myofibromatosis, infantile, 2
C3809092	adams-oliver syndrome 4
C3809104	symphalangism, proximal, 1b
C3809105	perrault syndrome 4
C3809137	muscular dystrophy, limb-girdle, type 2r
C3809160	shaheen syndrome
C3809165	multiple mitochondrial dysfunctions syndrome 3
C3809173	epileptic encephalopathy, early infantile, 16
C3809198	pulmonary hypertension, primary, 4
C3809199	precocious puberty, central, 2
C3809209	nemaline myopathy 8
C3809210	ehlers-danlos syndrome, progeroid type, 2
C3809216	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14
C3809221	muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14
C3809233	noonan syndrome 8
C3809236	muscular dystrophy, limb-girdle, type 2s
C3809243	hypocalcemia, autosomal dominant 2
C3809250	estrogen resistance
C3809272	lethal congenital contracture syndrome 5
C3809278	epileptic encephalopathy, childhood-onset
C3809288	left ventricular noncompaction 8
C3809309	charcot-marie-tooth disease, recessive intermediate c
C3809311	atrial fibrillation, familial, 13
C3809312	atrial fibrillation, familial, 14
C3809320	nephronophthisis 16
C3809327	spinocerebellar ataxia, autosomal recessive 14
C3809332	t-cell receptor-alpha/beta deficiency
C3809339	combined oxidative phosphorylation deficiency 16
C3809352	meckel syndrome, type 11
C3809356	multiple congenital anomalies-hypotonia-seizures syndrome 3
C3809383	immunodeficiency 8
C3809394	dyschromatosis universalis hereditaria 3
C3809414	cortical dysplasia, complex, with other brain malformations 3
C3809420	cortical dysplasia, complex, with other brain malformations 4
C3809431	microcephaly 11, primary, autosomal recessive
C3809454	hypotonia, infantile, with psychomotor retardation and characteristic facies 1
C3809464	myopia 22, autosomal dominant
C3809468	inclusion body myopathy with early-onset paget disease with or without frontotemporal dementia 2
C3809469	inclusion body myopathy with early-onset paget disease with or without frontotemporal dementia 3
C3809470	epidermolysis bullosa simplex, autosomal recessive 2
C3809503	retinitis pigmentosa with or without situs inversus
C3809513	aortic aneurysm, familial thoracic 8
C3809522	infantile liver failure syndrome 1
C3809523	macular degeneration, age-related, 13
C3809526	combined oxidative phosphorylation deficiency 17
C3809536	ventricular tachycardia, catecholaminergic polymorphic, 5, with or without muscle weakness
C3809543	ciliary dyskinesia, primary, 22
C3809548	ciliary dyskinesia, primary, 23
C3809553	mitochondrial complex iii deficiency, nuclear type 6
C3809567	microcornea, myopic chorioretinal atrophy, and telecanthus
C3809583	immunodeficiency 12
C3809592	mitochondrial dna depletion syndrome 13 (encephalomyopathic type)
C3809606	epileptic encephalopathy, early infantile, 17
C3809609	primary aldosteronism, seizures, and neurologic abnormalities
C3809624	epileptic encephalopathy, early infantile, 18
C3809634	ciliary dyskinesia, primary, 24
C3809645	basal ganglia calcification, idiopathic, 5
C3809650	bainbridge-ropers syndrome
C3809651	infantile liver failure syndrome 2
C3809655	charcot-marie-tooth disease, axonal, type 2r
C3809665	neurodegeneration with optic atrophy, childhood-onset
C3809672	mental retardation, autosomal recessive 37
C3809686	mental retardation, autosomal dominant 21
C3809691	short-rib thoracic dysplasia 8 with or without polydactyly
C3809710	telangiectasia, hereditary hemorrhagic, type 5
C3809719	erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige
C3809738	alacrima, achalasia, and mental retardation syndrome
C3809753	mental retardation, autosomal recessive 38
C3809768	immunodeficiency 13
C3809781	cole disease
C3809798	corneal dystrophy, fuchs endothelial, 8
C3809803	microphthalmia, syndromic 12
C3809811	parkinson disease 19, juvenile-onset
C3809819	craniosynostosis 5, susceptibility to
C3809824	parkinson disease 20, early-onset
C3809845	ehlers-danlos syndrome, musculocontractural type 2
C3809853	mental retardation, autosomal recessive 39
C3809858	testicular anomalies with or without congenital heart disease
C3809872	periventricular nodular heterotopia 6
C3809875	van maldergem syndrome 2
C3809877	schaaf-yang syndrome
C3809882	neuropathy, hereditary sensory and autonomic, type vii
C3809893	episodic pain syndrome, familial, 2
C3809899	episodic pain syndrome, familial, 3
C3809910	arthrogryposis, mental retardation, and seizures
C3809918	multiple fibroadenomas of the breast
C3809965	nephrotic syndrome, type 9
C3809971	asparagine synthetase deficiency
C3809991	immunodeficiency, common variable, 10
C3810001	combined oxidative phosphorylation deficiency 18
C3810012	rienhoff syndrome
C3810023	verheij syndrome
C3810041	alzheimer disease 18
C3810042	macular degeneration, age-related, 15
C3810043	immunodeficiency 15
C3810053	immunodeficiency 16
C3810055	combined oxidative phosphorylation deficiency 19
C3810062	congenital disorder of glycosylation, type iw
C3810067	congenital disorder of glycosylation, type ix
C3810072	palmoplantar keratoderma, nagashima type
C3810080	mental retardation, autosomal recessive 40
C3810090	l-ferritin deficiency
C3810100	fanconi renotubular syndrome 3
C3810107	immunodeficiency 17
C3810138	arrhythmogenic right ventricular dysplasia, familial, 13
C3810160	spastic paraplegia 72, autosomal recessive
C3810170	deafness, autosomal dominant 56
C3810175	short-rib thoracic dysplasia 10 with or without polydactyly
C3810185	anemia, congenital dyserythropoietic, type ib
C3810194	neuropathy, hereditary sensory, type if
C3810200	short-rib thoracic dysplasia 11 with or without polydactyly
C3810225	mental retardation, autosomal recessive 41
C3810230	neurodegeneration with brain iron accumulation 6
C3810242	leukoencephalopathy with ataxia
C3810283	schwannomatosis 2
C3810285	myopathy with extrapyramidal signs
C3810289	spastic paraplegia 64, autosomal recessive
C3810294	spastic paraplegia 61, autosomal recessive
C3810295	spastic paraplegia 63, autosomal recessive
C3810324	morbid obesity and spermatogenic failure
C3810325	poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis
C3810326	spinocerebellar ataxia, autosomal recessive 15
C3810332	auriculocondylar syndrome 3
C3810342	immunodeficiency 20
C3810343	sacral agenesis with vertebral anomalies
C3810350	bone marrow failure syndrome 2
C3810354	hyperphosphatasia with mental retardation syndrome 4
C3810363	bosch-boonstra-schaaf optic atrophy syndrome
C3810376	premature ovarian failure 9
C3810380	retinitis pigmentosa 68
C3810384	nemaline myopathy 9
C3810394	palmoplantar keratoderma, nonepidermolytic, focal or diffuse
C3810400	epileptic encephalopathy, early infantile, 19
C3810401	atrial standstill 2
C3810403	moyamoya disease 6 with achalasia
C3810404	carbonic anhydrase va deficiency, hyperammonemia due to
C3810406	mental retardation, autosomal dominant 23
C3810407	cortical dysplasia, complex, with other brain malformations 5
C3826462	depression in children
C3838883	phakomatosis cesioflammea
C3839296	phakomatosis cesiomarmorata
C3839326	kuskokwim syndrome
C3854181	nevus sebaceous
C3854388	hyperferritinaemia
C3854603	fnaitp
C3887487	postaxial polydactyly type a
C3887489	clubbing of toes
C3887494	ectodermal dysplasia 10b, hypohidrotic/hair/tooth type, autosomal recessive
C3887496	oligodactyly
C3887501	lipodystrophy, partial, acquired, susceptibility to
C3887523	very long chain acyl-coa dehydrogenase deficiency
C3887524	skin erosion
C3887525	keratosis follicularis spinulosa decalvans, x-linked
C3887527	fused cervical vertebrae
C3887531	keratoglobus
C3887654	polyarteritis nodosa, childhood-onset
C3887667	retrocollis
C3887709	optic neuropathy
C3887876	osteoarthritis susceptibility 1
C3887892	aortic valve disease 1
C3887898	infantile spasm
C3887938	colorblindness, partial, deutan series
C3887939	mental retardation, x-linked 41
C3887949	apparent mineralocorticoid excess
C3887959	mental retardation, x-linked 49
C3887964	polycystic kidney disease 3, autosomal dominant
C3887980	colorblindness, partial, protan series
C3887992	thyrotropin-releasing hormone deficiency
C3888001	hermansky-pudlak syndrome 3
C3888002	pulmonary hypertension, primary, 2
C3888004	hermansky-pudlak syndrome 5
C3888026	hermansky-pudlak syndrome 8
C3888031	spinocerebellar ataxia 35
C3888065	ectodermal dysplasia 10a, hypohidrotic/hair/nail type, autosomal dominant
C3888087	charcot-marie-tooth disease, type 2i
C3888088	smith-mccort dysplasia 1
C3888093	ichthyosis, congenital, autosomal recessive 2
C3888097	cataract 21, multiple types
C3888124	cataract 17, multiple types
C3888198	bestrophinopathy, autosomal recessive
C3888208	spastic paraplegia 41, autosomal dominant
C3888209	spastic paraplegia 45, autosomal recessive
C3888239	hirschsprung disease, susceptibility to, 1
C3888244	aicardi-goutieres syndrome 7
C3888271	neuronopathy, distal hereditary motor, type iid
C3888385	peroxisome biogenesis disorder 7a (zellweger)
C3888417	cataract 5, multiple types
C3889475	bardet-biedl syndrome 19
C3889636	spinocerebellar ataxia 37
C3890168	mental retardation, x-linked 101
C3890591	nephronophthisis 18
C3891448	neural tube defects, susceptibility to
C3891449	peeling skin syndrome 1
C3891556	chromosome xq26.3 duplication syndrome
C3891828	pancreatic agenesis 1
C3892039	bardet-biedl syndrome 5
C3892048	deafness, autosomal dominant 65
C3900122	acid-labile subunit deficiency
C3900199	45,x/46,xy mixed gonadal dysgenesis
C4011454	cataract 42
C4011726	myopathy, tubular aggregate, 1
C4011788	behavioral variant of frontotemporal dementia
C4011926	white sponge nevus 1
C4011949	immunodeficiency 27a
C4012050	hennekam lymphangiectasia-lymphedema syndrome 1
C4012146	desbuquois dysplasia 1
C4012395	congenital disorder of glycosylation, type iy
C4012409	pituitary adenoma, growth hormone-secreting, 2
C4012454	heart defects, congenital, and other congenital anomalies
C4012727	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1
C4012790	ataxia-telangiectasia-like disorder 1
C4013035	brain small vessel disease with or without ocular anomalies
C4013360	giant axonal neuropathy 2, autosomal dominant
C4013429	hypoplastic tragus
C4013473	epilepsy, idiopathic generalized, susceptibility to, 13
C4013648	polymicrogyria, bilateral temporooccipital
C4013764	mental retardation with language impairment and with or without autistic features
C4013947	immunodeficiency 28
C4013948	immunodeficiency 29
C4013949	immunodeficiency 30
C4013950	immunodeficiency 31a
C4014233	immunodeficiency 22
C4014239	microcephaly, progressive, with seizures and cerebral and cerebellar atrophy
C4014258	immunodeficiency, common variable, 11
C4014261	spinocerebellar ataxia, autosomal recessive 16
C4014269	atrial fibrillation, familial, 15
C4014283	cortical dysplasia, complex, with other brain malformations 6
C4014291	oocyte maturation defect 1
C4014294	desbuquois dysplasia 2
C4014310	congenital heart defects, multiple types, 4
C4014321	white sponge nevus 2
C4014347	pontocerebellar hypoplasia, type 10
C4014354	pontocerebellar hypoplasia, type 9
C4014361	abdominal obesity-metabolic syndrome 3
C4014371	immunodeficiency 23
C4014386	mental retardation, autosomal recessive 43
C4014393	cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis
C4014414	mental retardation, autosomal dominant 24
C4014419	xia-gibbs syndrome
C4014425	pigmented nodular adrenocortical disease, primary, 4
C4014435	mental retardation, autosomal dominant 26
C4014440	mitochondrial complex iii deficiency, nuclear type 8
C4014476	melanoma, cutaneous malignant, susceptibility to, 10
C4014479	culler-jones syndrome
C4014488	pontocerebellar hypoplasia, type 2e
C4014492	epileptic encephalopathy, early infantile, 23
C4014501	cone-rod dystrophy 19
C4014507	nephrotic syndrome, type 10
C4014516	diarrhea 7
C4014528	mental retardation, autosomal dominant 27
C4014531	epileptic encephalopathy, early infantile, 24
C4014534	ciliary dyskinesia, primary, 29
C4014538	helsmoortel-van der aa syndrome
C4014540	microphthalmia, syndromic 14
C4014545	tatton-brown-rahman syndrome
C4014557	myopathy, tubular aggregate, 2
C4014563	hypotrichosis 12
C4014578	amelogenesis imperfecta, hypomaturation type, iia5
C4014584	bleeding disorder, platelet-type, 18
C4014588	leukoencephalopathy, progressive, with ovarian failure
C4014605	polyglucosan body myopathy 1 with or without immunodeficiency
C4014616	hypotrichosis 13
C4014617	immunodeficiency 24
C4014641	diamond-blackfan anemia 13
C4014648	frontotemporal dementia and/or amyotrophic lateral sclerosis 2
C4014656	cardiomyopathy, dilated, 1nn
C4014660	combined oxidative phosphorylation deficiency 20
C4014668	combined oxidative phosphorylation deficiency 21
C4014676	ataxia-telangiectasia-like disorder 2
C4014681	retinitis pigmentosa 70
C4014690	epiphyseal chondrodysplasia, miura type
C4014700	encephalopathy, progressive, with or without lipodystrophy
C4014722	sting-associated vasculopathy, infantile-onset
C4014738	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2
C4014742	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3
C4014762	myopia 24, autosomal dominant
C4014767	hyperlipoproteinemia, type id
C4014780	orofaciodigital syndrome xiv
C4014795	autoimmune disease, multisystem, infantile-onset
C4014803	acth-independent macronodular adrenal hyperplasia 2
C4014812	spinocerebellar ataxia 38
C4014814	myopathy, centronuclear, 5
C4014821	poretti-boltshauser syndrome
C4014831	vesicoureteral reflux 8
C4014833	immunodeficiency 26 with or without neurologic abnormalities
C4014848	nanophthalmos 4
C4014856	cone-rod dystrophy 20
C4014863	immunodeficiency 27b
C4014869	lipodystrophy, familial partial, type 6
C4014925	focal segmental glomerulosclerosis 7
C4014939	hennekam lymphangiectasia-lymphedema syndrome 2
C4014942	cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia
C4014954	neutropenia, severe congenital, 6, autosomal recessive
C4014958	hyperphosphatasia with mental retardation syndrome 5
C4014962	fanconi renotubular syndrome 4 with maturity-onset diabetes of the young
C4014970	adams-oliver syndrome 5
C4014987	ectodermal dysplasia/short stature syndrome
C4014988	hypogonadotropic hypogonadism 22 with or without anosmia
C4014993	focal segmental glomerulosclerosis 8
C4014997	microcephaly, short stature, and impaired glucose metabolism 1
C4015019	neu-laxova syndrome 2
C4015029	charcot-marie-tooth disease, recessive intermediate d
C4015038	myasthenic syndrome, congenital, 7, presynaptic
C4015062	combined oxidative phosphorylation deficiency 22
C4015067	autoinflammation with infantile enterocolitis
C4015080	microcephaly 13, primary, autosomal recessive
